spp_M_Trat_list_gissi;gissi_spp;keep;al_adult_weight_max;al_dimorphism;al_social_group_mean;al_inter_litter;al_weaning;al_main_diet;al_foraging_water_depth;al_terrestriality;al_foraging_location;al_fasting_strategy;al_female_sexual_maturity;al_gestation;al_breeding_site;al_social_behavior
Arctocephalus_townsendi;Arctocephalus townsendi;yes;105;2;4;12;9;D;B;1;E;1;NA;12;A;C
Balaenoptera_acutorostrata;Balaenoptera acutorostrata;yes;9200;0;2.5;12;5.5;A;D;0;F;1;6;10;B;C
Balaenoptera_borealis;Balaenoptera borealis;yes;45000;0;3.5;12;6.5;A;A;0;F;1;10;11.75;C;C
Balaenoptera_edeni;Balaenoptera edeni;yes;38250;0;2;24;6;A;D;0;F;0;8;11.5;C;A
Balaenoptera_musculus;Balaenoptera musculus;yes;180000;0;1.5;30;7;A;A;0;B;1;10;11.5;C;C
Balaenoptera_physalus;Balaenoptera physalus;yes;120000;0;1.5;30;6.5;A;A;0;F;1;7.7;11;C;C
Berardius_bairdii;Berardius bairdii;yes;12000;0;15.5;24;6;E;C;0;C;0;12.5;17;C;A
Callorhinus_ursinus;Callorhinus ursinus;yes;160;2;8.5;12;4.5;D;D;1;D;1;4;8;A;C
Delphinapterus_leucas;Delphinapterus leucas;yes;1450;1;7.25;36;24;D;C;0;E;0;10.5;14.25;B;A
Delphinus_capensis;Delphinus capensis;yes;235;0;25;NA;NA;D;NA;0;A;0;NA;NA;C;A
Delphinus_delphis;Delphinus delphis;yes;200;0;76;25.2;16.5;E;D;0;E;0;7;10.75;C;A
Enhydra_lutris;enhydra_lutris;yes;40.25;2;6.5;12;6;B;C;1;A;0;3;5;B;A
Eschrichtius_robustus;Eschrichtius robustus;yes;45000;0;NA;24;6.5;B;C;0;A;1;8;13.5;B;C
Eubalaena_japonica;Eubalaena japonica;yes;90000;0;1.5;39;12;A;A;0;A;1;8;11;B;C
Eumetopias_jubatus;Eumetopias jubatus;yes;636.5;2;1.5;12;10;D;D;1;F;1;5;9;A;C
Feresa_attenuata;Feresa attenuata;yes;225;0;31;NA;NA;D;NA;0;D;0;NA;NA;C;A
Globicephala_macrorhynchus;Globicephala macrorhynchus;yes;3600;2;55;36;36;E;C;0;A;0;9;15.5;C;A
Grampus_griseus;Grampus griseus;yes;500;1;30;28.8;NA;E;B;0;C;0;9;13.5;C;A
Histriophoca_fasciata;Histriophoca fasciata;yes;148;1;1.5;12;12;D;D;1;F;0;3.5;11;A;C
Indopacetus_pacificus;Indopacetus pacificus;yes;8100;0;17.5;12;NA;E;C;0;C;0;9;NA;C;A
Kogia_breviceps;Kogia breviceps;yes;440;0;3.5;12;NA;E;D;0;F;0;3.75;11;C;C
Kogia_sima;Kogia sima;yes;272;0;5.5;NA;NA;E;D;0;F;0;NA;10.5;C;A
Lagenodelphis_hosei;lagenodelphis_hosei;yes;210;0;394.9;24;NA;E;B;0;A;0;6.5;12.5;C;A
Lagenorhynchus_obliquidens;Lagenorhynchus obliquidens;yes;198;0;49.4;54;NA;E;D;0;A;0;9.5;11.5;C;A
Lissodelphis_borealis;Lissodelphis borealis;yes;115;1;150;NA;NA;E;B;0;B;0;9.7;NA;C;A
Megaptera_novaeangliae;Megaptera novaeangliae;yes;43500;0;2.8;24;12;A;A;0;F;1;7.5;11.25;A;C
Mesoplodon_carlhubbsi;Mesoplodon carlhubbsi;yes;1500;0;2;12;12;E;D;0;D;0;9;12;C;A
Mesoplodon_densirostris;Mesoplodon densirostris;yes;1000;0;3.44;12;12;E;D;0;F;0;9;12;C;C
Mesoplodon_perrini;Mesoplodon perrini;yes;1000;0;2;12;12;E;D;0;D;0;9;12;C;A
Mesoplodon_peruvianus;Mesoplodon peruvianus;yes;800;0;4;12;12;E;D;0;D;0;9;12;C;A
Mesoplodon_stejnegeri;Mesoplodon stejnegeri;yes;1600;0;4;12;12;E;D;0;D;0;9;12;C;A
Mirounga_angustirostris;Mirounga angustirostris;yes;1605;2;NA;12;0.885245902;E;C;1;C;1;5;8;A;B
Orcinus_orca;Orcinus orca;yes;8750;1;10.5;60;18;C;D;0;E;0;13;16.5;C;A
Peponocephala_electra;Peponocephala electra;yes;275;0;300;NA;NA;E;C;0;A;0;13.5;12;C;A
Phoca_vitulina;Phoca vitulina;yes;130;2;6;12;0.786885246;D;D;1;A;0;3.5;8;A;A
Phocoena_phocoena;Phocoena phocoena;yes;70;0;4.5;12;12;D;D;0;A;0;3.5;11;C;A
Phocoenoides_dalli;Phocoenoides dalli;yes;200;0;7;36;12;E;B;0;D;0;5.5;11.5;C;A
Physeter_macrocephalus;Physeter macrocephalus;yes;38500;2;10;60;24;E;D;0;C;0;9;15;C;A
Pseudorca_crassidens;Pseudorca crassidens;yes;1900;1;15;36;24;D;C;0;D;0;11;15.3;C;A
Pusa_hispida;Pusa hispida;yes;110;0;2;12;1.278688525;D;C;1;A;0;6.5;9;A;C
Stenella_attenuata;Stenella attenuata;yes;119;0;120;30;9;D;A;0;D;0;10;11.35;C;A
Stenella_coeruleoalba;Stenella coeruleoalba;yes;156;0;55;41;16;E;D;0;F;0;9;12.5;C;A
Stenella_longirostris;Stenella longirostris;yes;82;1;22.5;36;18;E;B;0;A;0;5.5;10;C;A
Steno_bredanensis;Steno bredanensis;yes;152.5;0;15;NA;NA;D;B;0;A;0;10;NA;C;A
Tursiops_truncatus;Tursiops truncatus;yes;650;0;8.5;28;48;D;C;0;F;0;9;12;C;A
Zalophus_californianus;Zalophus californicus;yes;NA;2;12;24;11;D;C;1;A;1;4.5;8.5;A;A
Ziphius_cavirostris;Ziphius cavirostris;yes;3000;0;4.5;12;12;E;D;0;F;0;9;12;C;A
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
