;sp_richn;fmpd;fric
7516:144 _s202200;24;0.6136419;0.049598013
7516:134 _s202200;36;0.683431535;0.159177475
1417:391 _s202200;7;0.561209483;0.000848717
1417:392 _s202200;11;0.603585652;0.004857293
1417:393 _s202200;9;0.597884876;0.003406684
1417:394 _s202200;13;0.664809496;0.014930719
1417:486 _s202200;8;0.658215795;0.002396438
1417:487 _s202200;8;0.659426123;0.002396438
1417:488 _s202200;8;0.65936476;0.002396438
1417:489 _s202200;8;0.659412002;0.002396438
1417:495 _s202200;13;0.639194011;0.020662591
1417:496 _s202200;10;0.657256301;0.007471594
1417:497 _s202200;10;0.667837728;0.007471594
1417:498 _s202200;13;0.670636648;0.014930719
1417:499 _s202200;11;0.677192575;0.010058861
1516:219 _s202200;14;0.614248664;0.0165898
1517:100 _s202200;14;0.608359556;0.0165898
1517:101 _s202200;14;0.615706601;0.0165898
1517:102 _s202200;11;0.636183363;0.00657993
1517:103 _s202200;11;0.63897737;0.00657993
1517:104 _s202200;13;0.63575034;0.011717275
1517:110 _s202200;12;0.63304854;0.008885465
1517:111 _s202200;12;0.637240895;0.008885465
1517:112 _s202200;12;0.652140198;0.008538043
1517:113 _s202200;14;0.647672845;0.013143724
1517:114 _s202200;22;0.666255222;0.054659285
1517:120 _s202200;16;0.66497038;0.022031199
1517:121 _s202200;19;0.640190757;0.03533848
1517:122 _s202200;31;0.664828278;0.100776667
1517:123 _s202200;31;0.656876228;0.100776667
1517:124 _s202200;27;0.669485669;0.074831877
1517:130 _s202200;21;0.602902022;0.058045796
1517:131 _s202200;19;0.637442705;0.054928342
1517:132 _s202200;26;0.669595783;0.074164857
1517:133 _s202200;23;0.683112817;0.062376147
1517:134 _s202200;14;0.611755873;0.0165898
1517:140 _s202200;16;0.578309716;0.020741513
1517:141 _s202200;14;0.588015935;0.011745377
1517:142 _s202200;13;0.590947411;0.010765891
1517:143 _s202200;13;0.592972844;0.010765891
1517:144 _s202200;14;0.587604305;0.011745377
1517:205 _s202200;12;0.641395701;0.008538043
1517:206 _s202200;12;0.649867219;0.008538043
1517:207 _s202200;9;0.663470079;0.003992299
1517:208 _s202200;13;0.648796442;0.010391845
1517:209 _s202200;13;0.644656423;0.010391845
1517:215 _s202200;27;0.656269044;0.071628736
1517:216 _s202200;26;0.672880149;0.074164857
1517:217 _s202200;30;0.659973557;0.096376318
1517:218 _s202200;30;0.661286378;0.096376318
1517:219 _s202200;29;0.659493193;0.086799971
1517:225 _s202200;31;0.654113401;0.100776667
1517:226 _s202200;28;0.644003323;0.072697605
1517:227 _s202200;27;0.665039998;0.074831877
1517:228 _s202200;28;0.653108927;0.074927684
1517:229 _s202200;31;0.65636977;0.100106714
1517:235 _s202200;14;0.609683827;0.0165898
1517:236 _s202200;14;0.612258792;0.0165898
1517:237 _s202200;14;0.615500062;0.0165898
1517:238 _s202200;17;0.595628963;0.02872674
1517:239 _s202200;22;0.62500468;0.060953009
1517:245 _s202200;14;0.587281517;0.011745377
1517:246 _s202200;18;0.598687226;0.032496816
1517:247 _s202200;16;0.573326467;0.020741513
1517:248 _s202200;19;0.581303003;0.02487573
1517:249 _s202200;20;0.601461003;0.047300752
1517:351 _s202200;14;0.59044491;0.011745377
1517:352 _s202200;12;0.607121498;0.010762823
1517:353 _s202200;12;0.608886271;0.010762823
1517:354 _s202200;13;0.594288088;0.010765891
1517:362 _s202200;12;0.602062857;0.005556633
1517:363 _s202200;12;0.602224159;0.005556633
1517:455 _s202200;13;0.590286172;0.010765891
1517:456 _s202200;16;0.61633481;0.023581885
1517:457 _s202200;15;0.580100884;0.014027831
1517:458 _s202200;15;0.583148432;0.014027831
1517:459 _s202200;12;0.597291857;0.005556633
7416:497 _s202200;11;0.712057881;0.014897718
7416:498 _s202200;10;0.714036543;0.011589381
7416:499 _s202200;8;0.680921058;0.002746699
7417:382 _s202200;10;0.712382219;0.011589381
7417:383 _s202200;10;0.714851408;0.011589381
7417:384 _s202200;9;0.71837674;0.007027504
7417:390 _s202200;9;0.67443497;0.005927783
7417:391 _s202200;9;0.673274817;0.005927783
7417:392 _s202200;11;0.663236035;0.009231547
7417:393 _s202200;12;0.674889807;0.013186342
7417:394 _s202200;12;0.67405208;0.013186342
7417:485 _s202200;9;0.721405242;0.007027504
7417:486 _s202200;10;0.710703962;0.011589381
7417:487 _s202200;9;0.675830489;0.005927783
7417:488 _s202200;9;0.676214507;0.005927783
7417:489 _s202200;9;0.674870651;0.005927783
7417:495 _s202200;10;0.681743667;0.009078946
7417:496 _s202200;14;0.662157827;0.018601101
7417:497 _s202200;14;0.662769798;0.018601101
7417:498 _s202200;13;0.663066565;0.014388897
7417:499 _s202200;12;0.67216199;0.013186342
7516:104 _s202200;14;0.663633192;0.018601101
7516:114 _s202200;15;0.650606342;0.01978973
7516:124 _s202200;11;0.670273138;0.010586359
7516:205 _s202200;14;0.665747212;0.018601101
7516:206 _s202200;14;0.660070805;0.015239258
7516:207 _s202200;14;0.654779853;0.015239258
7516:208 _s202200;11;0.675591485;0.010586359
7516:209 _s202200;11;0.674134589;0.010586359
7516:215 _s202200;15;0.648742623;0.01978973
7516:216 _s202200;14;0.651592184;0.015239258
7516:217 _s202200;14;0.652015787;0.015239258
7516:218 _s202200;11;0.670390382;0.010586359
7516:219 _s202200;17;0.656791156;0.03383964
7516:225 _s202200;16;0.657921385;0.02206452
7516:226 _s202200;20;0.667722115;0.050458448
7516:227 _s202200;26;0.672127943;0.072937074
7516:228 _s202200;34;0.666911345;0.136172718
7516:229 _s202200;35;0.663512139;0.138802085
7516:235 _s202200;35;0.667952941;0.138802085
7516:236 _s202200;35;0.661302611;0.138802085
7516:237 _s202200;33;0.659418691;0.117954441
7516:238 _s202200;33;0.661400449;0.117954441
7516:239 _s202200;32;0.663744766;0.122948163
7516:245 _s202200;28;0.634407112;0.074689089
7516:246 _s202200;32;0.657841468;0.115523261
7516:247 _s202200;32;0.660231675;0.122948163
7516:249 _s202200;23;0.64208287;0.055108154
7517:100 _s202200;11;0.673141449;0.010586359
7517:101 _s202200;11;0.674597942;0.010586359
7517:102 _s202200;11;0.671638117;0.010586359
7517:103 _s202200;14;0.653280964;0.015239258
7517:104 _s202200;11;0.67198719;0.010586359
7517:110 _s202200;19;0.638775722;0.036102766
7517:111 _s202200;29;0.681228568;0.106688545
7517:112 _s202200;28;0.673032051;0.088729231
7517:113 _s202200;28;0.671663264;0.088729231
