;s_ecoreg;Beringraja binoculata;Cetorhinus maximus;Oncorhynchus tshawytscha;Mola mola;Erilepis zonifer;Albatrossia pectoralis;Hippoglossus stenolepis;Lamna ditropis;Ophiodon elongatus;Icosteus aenigmaticus;Somniosus pacificus;Tursiops truncatus;Delphinus delphis;Orcinus orca;Phocoena phocoena;Phocoenoides dalli;Delphinapterus leucas;Physeter macrocephalus;Berardius bairdii;Mesoplodon carlhubbsi;Mesoplodon stejnegeri;Eschrichtius robustus;Balaenoptera acutorostrata;Balaenoptera borealis;Balaenoptera physalus;Balaenoptera musculus;Megaptera novaeangliae;Enhydra lutris;Eumetopias jubatus;Callorhinus ursinus;Phoca vitulina;Mirounga angustirostris;Eubalaena japonica;Pusa hispida;Histriophoca fasciata;Enteroctopus dofleini;Thunnus orientalis;Kajikia audax;Istiompax indica;Taeniurops meyeni;Mobula birostris;Pteroplatytrygon violacea;Seriola rivoliana;Acanthocybium solandri;Istiophorus platypterus;Thunnus alalunga;Thunnus albacares;Thunnus obesus;Carcharhinus albimarginatus;Carcharhinus altimus;Carcharhinus brachyurus;Carcharhinus falciformis;Carcharhinus galapagensis;Carcharhinus leucas;Carcharhinus limbatus;Carcharhinus longimanus;Carcharhinus obscurus;Carcharhinus plumbeus;Carcharodon carcharias;Galeocerdo cuvier;Hexanchus griseus;Negaprion brevirostris;Odontaspis ferox;Prionace glauca;Sphyrna lewini;Sphyrna mokarran;Sphyrna zygaena;Aetobatus narinari;Lampris guttatus;Lepidocybium flavobrunneum;Seriola dumerili;Sphyraena barracuda;Alopias superciliosus;Alopias vulpinus;Ginglymostoma cirratum;Dasyatis brevis;Masturus lanceolatus;Aetobatus ocellatus;Makaira nigricans;Seriola lalandi;Xiphias gladius;Luvarus imperialis;Mycteroperca xenarcha;Nematistius pectoralis;Regalecus glesne;Rhincodon typus;Ruvettus pretiosus;Tetrapturus angustirostris;Alopias pelagicus;Megachasma pelagios;Mobula tarapacana;Elagatis bipinnulata;Isurus oxyrinchus;Steno bredanensis;Stenella longirostris;Stenella attenuata;Stenella coeruleoalba;Lagenodelphis hosei;Grampus griseus;Peponocephala electra;Feresa attenuata;Pseudorca crassidens;Globicephala macrorhynchus;Kogia breviceps;Kogia sima;Ziphius cavirostris;Indopacetus pacificus;Mesoplodon densirostris;Balaenoptera edeni;Mesoplodon peruvianus;Caretta caretta;Dermochelys coriacea;Eretmochelys imbricata;Lepidochelys olivacea;Dosidicus gigas;Notorynchus cepedianus;Mycteroperca jordani;Myliobatis californica;Stereolepis gigas;Zalophus californianus;Arctocephalus townsendi;Delphinus capensis;Acipenser medirostris;Lagenorhynchus obliquidens;Lissodelphis borealis;Acipenser transmontanus;Mesoplodon perrini
1;Aleutian Islands _s202200;5.990242697;103.4440777;188.5718785;22.93556467;285.7310918;455.3260468;320.4792878;290.6341653;94.19644079;241.0757883;395.455424;23.93428383;52.67772176;183.4132689;90.89089628;264.1996745;173.7040395;24.3265954;202.108103;120.1462825;316.0827264;108.8814073;156.8716593;119.6354111;159.6706749;122.6331149;105.0691259;123.361666;101.909739;270.4333308;29.28816716;93.53780837;302.4212069;167.1037794;250.4659054;254.6736365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Clipperton _s202200;0;0;0;14.54343677;0;0;0;0;0;0;0;9.779935821;17.56673173;30.760715;0;0;0;18.08505672;0;0;0;0;5.571118481;17.89089252;0;17.82348942;11.55004097;0;0;0;0;0;0;0;0;0;13.24145744;13.5022268;14.82104255;9.757620702;8.483922966;32.82430717;15.09206158;27.35841275;23.27754972;11.63243894;13.16229911;12.94597662;10.78771926;12.33304145;8.163080202;46.60416473;8.0193105;9.124337345;10.16983627;35.76016131;10.21700493;6.704497543;11.36627616;6.003430532;18.20322371;12.36374647;20.63130038;13.27735444;34.37950687;29.72170195;23.97767436;8.5722858;11.44276188;14.64689711;6.75087255;9.48481945;23.17848431;18.55842508;12.65342275;12.44663505;17.32061056;12.01302212;15.21599783;11.06221585;11.87574025;14.50404508;13.21248315;17.13766688;13.02360059;18.48964416;4.898082212;13.36702104;41.70174804;22.44607685;98.43146974;21.84930735;15.41644749;74.92199146;96.16298834;92.75990069;19.0152713;32.56647855;13.420939;53.33579317;69.92413262;48.04711201;18.55993758;40.27154775;57.98777881;18.91345642;32.56427662;28.41747753;35.17050642;77.95924857;4.881476674;11.99592624;6.964709815;12.84356537;13.30122289;0;0;0;0;0;0;0;0;0;0;0;0
3;Cortezian _s202200;0;13.33793215;0;24.78658544;0;0;0;0;0;0;0;181.7880722;22.15880276;64.56710938;0;0;0;12.03258485;0;2.08288271;0;0;46.75009329;12.41286016;12.51729026;12.62486877;23.2215582;0;0;0;1.187358128;0;0;0;0;0;19.67091321;21.92816436;24.51694451;907.0684204;771.1885976;46.98348348;1243.585874;47.70366621;36.50155518;19.59292792;21.85585368;21.97884604;841.8736111;1155.359323;1052.92397;68.79892923;762.0750768;854.7679225;927.9975592;61.2638368;909.3134386;668.3070798;26.66140311;634.954668;187.9562523;1002.346589;475.172798;22.36113229;56.98643406;48.68607753;39.01565485;775.6204192;18.43004163;421.6052999;643.8982238;786.6593111;37.93323176;30.74928256;1128.179172;1042.032287;22.12066582;995.2788823;23.78054292;650.2394787;20.54156302;24.57935908;1036.255054;1357.988723;22.35513579;30.25982397;442.1730261;25.65744955;59.26926924;31.78534959;54.91879151;1197.657394;23.74596111;112.3504972;138.0476828;79.40504942;13.41948245;21.26554754;186.5860632;84.95883328;105.0378124;41.18800131;26.47667154;62.14000981;87.08728343;12.79425102;23.35885951;21.18753106;39.61257977;38.44581242;511.9649821;19.65054197;660.4634318;1140.637041;138.1100544;82.99766678;1585.471675;795.1642399;851.1383538;125.0755962;69.64872517;374.6787795;0;0;0;0;0
4;Eastern Bering Sea _s202200;66.63373062;19.64210974;407.8864489;0;302.7657847;164.4759016;448.4933427;204.693673;136.5042384;75.71435949;246.9180292;1.577912968;6.78447905;203.3556791;422.1817664;183.7087343;807.2910995;1.517202745;17.40849687;8.511780304;120.40352;740.0661066;225.0258847;10.75861478;38.29508489;11.03441191;116.3997259;230.8821747;344.6605347;64.44416173;382.143065;14.8978989;137.0136852;857.4797822;785.3947696;102.217785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Gulf of Alaska _s202200;697.1839684;98.16989115;428.6261345;57.95904533;510.3114008;342.2087406;573.0035433;438.8211777;686.7489301;277.7914718;627.5983397;208.6594614;55.81900798;175.4272519;414.4840407;320.9916685;303.6582724;29.76985201;110.7779931;206.6259703;381.4685506;306.9964491;166.5291406;65.1127355;104.8744314;66.44355817;91.55587183;544.984307;465.6852;206.7039766;436.3890344;140.6648137;267.2281172;289.0227793;322.2032978;571.5315987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.599443312;0;75.83114307;0;0;0.432149279;0;0;0;0;1.440505541;0;0;0;0;3.540213453;0;0;0;0;0;0;0;0;0;0;27.0662539;0;0;0;0;0;0;0;0;0;0;0;18.75500205;0;53.98718592;0;0;0;0;17.17621331;0;22.45941932;0;0;0;0;0;2.704398056;0;0;0;0;0;0;0;106.0080199;0;167.9394839;207.9350933;148.9143617;8.437320861;0;0
6;Hawaii _s202200;0;18.2145783;0;23.30660262;0;0;0;0;0;0;0;71.9590805;61.35746014;20.36272683;0;0;0;169.5929228;0;0;0;0;12.65327146;30.77089039;5.738094357;25.36087195;110.6766267;0;0;0;0;0;0;0;0;0;157.5485116;164.9354881;179.5041785;578.82206;534.3174684;28.55727299;125.343543;213.6232952;226.0898313;152.362396;159.0656224;160.0351771;617.1654189;327.9355722;0;37.50358517;605.2975565;486.9658841;295.4337435;62.44765533;0;487.3547647;148.2048665;515.8662093;256.1761607;0;548.9057576;160.1113078;66.31067458;253.2606845;17.85826202;490.3347478;141.3411393;567.3419262;493.0837311;549.8291765;223.4227433;34.64592567;0;146.8702936;220.61928;501.4235431;193.3791733;0;149.3613728;163.7804168;0;0;128.7545557;218.8518539;489.5390958;188.6045493;36.03242179;75.4557548;0;0;172.9723394;307.4855712;134.9117519;262.8492173;189.1038279;306.9893784;118.8278269;383.7811884;305.8225637;192.6635019;197.4100241;126.6620175;226.3987729;174.0276208;336.2885176;259.34345;119.9538382;11.35769938;358.2789308;142.5829719;514.9009966;0;0;0;0;0;76.3906263;0;0;0;0;0;0;0;0
7;High seas _s202200;0;1238.851081;3.86520457;1341.523127;12.89366258;83.45771743;22.2322019;426.1347241;0;996.7815088;9.566148937;232.7187284;1287.532814;605.1913637;0;573.0318059;132.8426142;1419.200784;1162.802412;272.4370529;103.4763122;92.25974239;848.7634044;1320.605516;1164.664652;1329.219385;1203.912006;0;0;866.6156027;0;978.7372418;816.0462375;121.171505;174.5841611;1.349166828;1434.219973;1417.81637;1413.395638;57.56996214;47.42512938;1527.950331;41.14572577;1501.331157;1464.93576;1418.571792;1400.688844;1411.869872;91.69561371;89.29122011;44.21668443;1510.3271;54.93227692;46.99033733;39.56066307;1491.262584;0;52.53008384;1494.464586;97.28007841;386.0358215;0;315.9548723;1494.41715;1448.06751;1486.26672;1522.364023;47.91907762;1386.363907;203.8172067;43.4081105;53.90861667;1470.954691;1383.88148;0;0;1407.276113;54.05859952;1480.702532;164.2313583;1398.660297;1490.44606;0;0;1404.973155;1380.677901;133.4323715;1455.187539;1451.922899;1308.691519;1684.462901;31.98558396;1522.041391;1252.386392;1234.088904;1394.93835;1475.763077;1503.205299;368.3405884;1356.361151;1230.579831;1223.180294;1581.367;1098.804122;1128.795232;1441.953778;1601.751665;1409.901321;1351.622473;1335.65409;28.64514883;1370.347801;45.89743768;0;3.222763256;32.27042149;0;0;0;24.92267039;0;7.238770857;0;734.2317837;989.5012775;0;0
8;Kamchatka Shelf and Coast _s202200;0;17.7131353;83.63873221;0;31.71652765;25.00521611;161.4487204;37.47173355;0;12.7530659;126.5221479;0;4.294922328;114.112747;42.74162199;115.1175478;133.9314881;1.780962607;50.30895884;0;24.78443858;106.3523413;82.52876221;39.14084226;58.00079015;40.13680893;42.21691819;6.142489594;53.20175016;113.0051689;9.638554217;0;97.07211608;131.5333312;191.6027412;4.121091402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Magdalena Transition _s202200;0;9.644872192;0;7.060143375;0;0;0;0;0;0;0;45.74385317;10.86465526;20.18813375;7.48603825;0;0;11.54241165;1.32273453;1.121552228;0;10.77411347;13.31900259;6.773496726;8.422090249;6.334661266;11.88116174;0;0;0;3.841452768;0.467088499;0;0;0;0;11.11396529;12.0618956;13.13114166;124.7999688;127.6830406;12.01308445;162.994265;19.06877636;16.98966477;10.74974306;11.66311832;11.73250435;31.82377182;140.8433334;236.6159498;13.50564732;136.8094371;135.8613831;153.0560358;16.0478636;231.2661636;158.7652666;12.96583489;150.6983582;50.11041914;179.0220024;125.6594181;11.75791758;17.89342755;20.40978489;9.682614461;120.2691698;10.01881388;106.4716752;152.7722458;114.2049689;18.23577599;9.69103329;158.6739213;188.0686556;14.18636009;90.8184472;13.41228399;118.5237412;10.95316734;12.88286587;204.7934889;216.9628627;11.12065744;14.73788472;124.4435832;13.78078608;14.02023327;13.04145478;12.77181198;165.7844352;12.74399473;55.27202596;35.82967892;43.65266445;12.87551973;20.07771246;50.43938987;37.65436041;54.50807493;30.32010295;15.05030714;29.71040072;43.40282143;12.07711787;22.19114372;19.06301376;19.83530846;8.745428526;101.3308729;10.45164055;146.6767887;204.2126894;31.05571865;99.71328079;334.6969134;231.8763698;246.518222;49.53717792;30.38089792;74.3421767;0;3.086574558;0;0;0
10;Mexican Tropical Pacific _s202200;0;1.097753603;0;26.96070104;0;0;0;0;0;0;0;92.37821168;34.69148599;61.96761234;0;0;0;30.45142617;0;0;0;0;28.06144348;32.31918701;0.168501984;31.97954337;20.16114022;0;0;0;0;0;0;0;0;0;26.5147937;27.31184137;30.28248873;191.834823;163.0609994;54.57025349;284.3662128;54.76534656;47.44789659;24.06319843;26.75317759;26.31291905;203.7800168;238.8910129;163.7151085;77.35492623;170.0895757;170.8988385;201.4644564;66.18577109;191.4624153;136.9929292;23.23228374;124.3567753;46.52976443;235.7943076;81.91583822;26.73621159;63.42002598;58.96664586;39.38887563;168.7883074;23.11281356;96.89485781;135.2874859;177.0177018;46.64167331;34.02458209;238.3904846;236.486066;35.12287131;232.6922384;30.73536629;197.7826943;24.23026402;29.69473038;256.9827973;334.1845041;26.47225109;38.88676427;91.66410998;28.91132995;71.61087518;45.16775743;74.342062;366.9332132;30.7704639;165.1012974;208.8062945;165.8736889;31.20888559;61.63131826;130.1480971;109.2023756;153.3479287;87.48491496;29.85496446;67.26991479;119.1238967;29.50667939;63.68367533;52.22771696;67.5061218;127.8309066;95.80568504;24.96519283;150.9252617;267.6599024;107.1715272;0;0;7.119623637;9.006755066;0;3.5823281;71.22950523;0;0;0;0;0
