Class;species;common name;length_max;weight_max;reproductive_strategy;reproductive_mode;parental_investment;parental_care;diet_main_component;trophic_level;adult_mobility;depth_max;terrestriality;zones;body_shape;sexual_dimorphism;sociality;length_at_mat;ext_diet_spec;fecundity
Actinopterygii;Acanthocybium solandri;Wahoo;250;83000;dioecism;oviparous;nonguarders_open water_substratum_egg_scatterers;none;fish;4.420000076;oceanodromous;20;no;pelagic_oceanic;elongated;no;solitary;79;generalist;>10000
Actinopterygii;Acipenser medirostris;Green sturgeon;270;159000;dioecism;oviparous;nonguarders_open water_substratum_egg_scatterers;none;zooplankton;3.52;anadromous;80;no;demersal;elongated;yes;solitary;93;specialist;>10000
Actinopterygii;Acipenser transmontanus;White sturgeon;610;816000;dioecism;oviparous;nonguarders_open water_substratum_egg_scatterers;none;fish;3.62;anadromous;122;no;demersal;elongated;no;solitary;161;generalist;>10000
Elasmobranchii;Aetobatus narinari;Whitespotted eagle ray;230;230000;dioecism;ovoviviparous;bearers_internal_live_bearers;none;invertebrates;3.32;amphidromous;80;no;benthopelagic;other;yes;large_groups;154;specialist;2-5
Elasmobranchii;Aetobatus ocellatus;Ocellated eagle ray;300;200000;dioecism;ovoviviparous;bearers_internal_live_bearers;none;invertebrates;3.6;oceanodromous;100;no;benthopelagic;other;yes;large_groups;78;specialist;2-5
Actinopterygii;Albatrossia pectoralis;Giant grenadier;210;86000;dioecism;oviparous;nonguarders_others;none;invertebrates;3.86;non_migratory;3500;no;bathydemersal;elongated;yes;solitary;66;generalist;>10000
Elasmobranchii;Alopias pelagicus;Pelagic thresher;428;69500;dioecism;ovoviviparous;bearers_internal_live_bearers;none;invertebrates;4.5;oceanodromous;300;no;pelagic_oceanic;fusiform;yes;solitary;152;generalist;2-5
Elasmobranchii;Alopias superciliosus;Bigeye thresher;488;363800;dioecism;ovoviviparous;bearers_internal_live_bearers;none;fish;4.47;oceanodromous;730;no;pelagic_oceanic;fusiform;yes;solitary;128;generalist;2-5
Elasmobranchii;Alopias vulpinus;Thresher;573;348000;dioecism;ovoviviparous;bearers_internal_live_bearers;none;fish;4.37;oceanodromous;650;no;pelagic_oceanic;fusiform;no;solitary;207;generalist;2-5
Mammalia;Arctocephalus townsendi;Guadalupe fur seal;190;170000;dioecism;placental;bearers_internal_live_bearers;month_year;fish;4.5;oceanodromous;17;yes;bathydemersal;fusiform;yes;solitary;159;generalist;<1
Mammalia;Balaenoptera acutorostrata;Northern minke whale;1070;14000000;dioecism;placental;bearers_internal_live_bearers;month_year;zooplankton;4.23;oceanodromous;732;no;pelagic_neritic;fusiform;no;small_groups;775;specialist;<1
Mammalia;Balaenoptera borealis;Sei whale;1800;30000000;dioecism;placental;bearers_internal_live_bearers;month_year;zooplankton;3.86;oceanodromous;342;no;pelagic;elongated;yes;small_groups;6305;generalist;<1
Mammalia;Balaenoptera edeni;Eden's whale;1550;25000000;dioecism;placental;bearers_internal_live_bearers;month_year;zooplankton;4.1;oceanodromous;3000;no;pelagic;elongated;yes;small_groups;1195;generalist;<1
Mammalia;Balaenoptera musculus;Blue whale;3300;160000000;dioecism;placental;bearers_internal_live_bearers;month_year;zooplankton;3.47;oceanodromous;500;no;pelagic;elongated;yes;small_groups;2150;specialist;<1
Mammalia;Balaenoptera physalus;Fin whale;2700;75000000;dioecism;placental;bearers_internal_live_bearers;month_year;zooplankton;3.75;oceanodromous;230;no;pelagic;elongated;no;small_groups;1795;generalist;<1
Mammalia;Berardius bairdii;Baird's beaked whale;1190;12000000;dioecism;placental;bearers_internal_live_bearers;month_year;squid;4.49;non_migratory;3000;no;pelagic;elongated;yes;medium_groups;980;specialist;<1
Elasmobranchii;Beringraja binoculata;Big skate;244;91000;dioecism;oviparous;nonguarders_open water_substratum_egg_scatterers;none;invertebrates;3.92;oceanodromous;800;no;demersal;other;yes;solitary;105;generalist;100-1000
Mammalia;Callorhinus ursinus;Northern fur seal;210;270000;dioecism;placental;bearers_internal_live_bearers;month_year;fish;4.5;oceanodromous;207;yes;bathydemersal;fusiform;yes;medium_groups;178;generalist;1
Elasmobranchii;Carcharhinus albimarginatus;Silvertip shark;300;162200;dioecism;placental;bearers_internal_live_bearers;none;fish;4.48;oceanodromous;800;no;reef-associated;fusiform;yes;solitary;141;generalist;10-20
Elasmobranchii;Carcharhinus altimus;Bignose shark;300;167800;dioecism;placental;bearers_internal_live_bearers;none;fish;4.5;oceanodromous;810;no;reef-associated;fusiform;no;solitary;141;generalist;10-20
Elasmobranchii;Carcharhinus brachyurus;Copper shark;325;304600;dioecism;placental;bearers_internal_live_bearers;none;fish;4.5;oceanodromous;360;no;reef-associated;fusiform;no;large_groups;175;generalist;20-50
Elasmobranchii;Carcharhinus falciformis;Silky shark;350;346000;dioecism;placental;bearers_internal_live_bearers;none;fish;4.48;oceanodromous;500;no;reef-associated;fusiform;yes;solitary;146;generalist;10-20
Elasmobranchii;Carcharhinus galapagensis;Galapagos shark;370;85450;dioecism;placental;bearers_internal_live_bearers;none;fish;4.34;oceanodromous;286;no;reef-associated;fusiform;yes;solitary;170;generalist;10-20
Elasmobranchii;Carcharhinus leucas;Bull shark;360;316500;dioecism;placental;bearers_internal_live_bearers;none;fish;4.34;amphidromous;152;no;reef-associated;fusiform;yes;small_groups;164;generalist;5-10
Elasmobranchii;Carcharhinus limbatus;Blacktip shark;275;122750;dioecism;placental;bearers_internal_live_bearers;none;fish;4.46;amphidromous;100;no;reef-associated;fusiform;yes;large_groups;82;generalist;5-10
Elasmobranchii;Carcharhinus longimanus;Oceanic whitetip shark;400;167370;dioecism;placental;bearers_internal_live_bearers;none;fish;4.39;oceanodromous;230;no;pelagic_oceanic;fusiform;yes;solitary;182;generalist;10-20
Elasmobranchii;Carcharhinus obscurus;Dusky shark;420;346540;dioecism;placental;bearers_internal_live_bearers;none;fish;4.42;oceanodromous;400;no;reef-associated;fusiform;yes;medium_groups;201;generalist;10-20
Elasmobranchii;Carcharhinus plumbeus;Sandbar shark;180;117930;dioecism;placental;bearers_internal_live_bearers;none;fish;4.23;oceanodromous;500;no;benthopelagic;fusiform;yes;medium_groups;117;generalist;10-20
Elasmobranchii;Carcharodon carcharias;Great white shark;640;30000;dioecism;ovoviviparous;bearers_internal_live_bearers;none;highvertebrates;4.48;oceanodromous;1200;no;pelagic_oceanic;fusiform;yes;solitary;324;generalist;5-10
Reptilia;Caretta caretta;Loggerhead turtle;125;545000;dioecism;oviparous;nonguarders_others;none;invertebrates;3.55;oceanodromous;200;yes;benthopelagic;other;no;solitary;83;generalist;100-1000
Elasmobranchii;Cetorhinus maximus;Basking shark;1520;4000000;dioecism;ovoviviparous;bearers_internal_live_bearers;none;zooplankton;3.31;oceanodromous;2000;no;pelagic_oceanic;elongated;yes;small_groups;895;specialist;2-5
Elasmobranchii;Dasyatis brevis;Whiptail stingray;187;46260;dioecism;ovoviviparous;bearers_internal_live_bearers;none;fish;3.84;oceano-estuarine;70;no;demersal;other;yes;large_groups;93;generalist;2-5
Mammalia;Delphinapterus leucas;Beluga;550;1600000;dioecism;placental;bearers_internal_live_bearers;more_t_year;fish;4.25;oceanodromous;862;no;pelagic;fusiform;yes;small_groups;400;generalist;<1
Mammalia;Delphinus capensis;Long-beaked dolphin;259;226796;dioecism;placental;bearers_internal_live_bearers;more_t_year;fish;4.5;oceanodromous;300;no;pelagic_oceanic;fusiform;no;medium_groups;208;generalist;1
Mammalia;Delphinus delphis;Common dolphin;260;135000;dioecism;placental;bearers_internal_live_bearers;month_year;squid;4.49;oceanodromous;8000;no;pelagic;fusiform;no;medium_groups;180;generalist;1-2
Reptilia;Dermochelys coriacea;Leatherback turtle;257;650000;dioecism;oviparous;nonguarders_others;none;invertebrates;4.15;oceanodromous;1250;yes;benthopelagic;other;no;solitary;123;generalist;100-1000
Cephalopoda;Dosidicus gigas;Jumbo flying squid;400;3000;dioecism;oviparous;nonguarders_open water_substratum_egg_scatterers;none;fish;4.11;oceanodromous;1200;no;pelagic;other;no;medium_groups;30;generalist;>10000
Actinopterygii;Elagatis bipinnulata;Rainbow runner;180;46210;dioecism;oviparous;nonguarders_open water_substratum_egg_scatterers;none;invertebrates;3.59;oceanodromous;150;no;reef-associated;fusiform;no;large_groups;65;generalist;>10000
Mammalia;Enhydra lutris;Sea otter;148;45000;dioecism;placental;bearers_internal_live_bearers;more_t_year;invertebratessquidexcepted;3.78;non_migratory;25;no;bathydemersal;fusiform;yes;large_groups;148.2;generalist;<1
Cephalopoda;Enteroctopus dofleini;North Pacific giant octopus;300;272000;dioecism;oviparous;guarders;none;invertebratessquidexcepted;3.33;non_migratory;1500;no;benthic;bag_shaped;yes;solitary;60;generalist;>10000
Reptilia;Eretmochelys imbricata;Hawksbill turtle;90;120000;dioecism;oviparous;nonguarders_others;none;sponges;3.51;oceano-estuarine;300;yes;reef-associated;cardiform;no;solitary;72;specialist;100-1000
Actinopterygii;Erilepis zonifer;Skilfish;183;91000;dioecism;oviparous;bearers_internal_live_bearers;none;fish;4.5;oceanodromous;680;no;bathydemersal;fusiform;yes;solitary;91;generalist;>10000
Mammalia;Eschrichtius robustus;Gray whale;1500;35000000;dioecism;placental;bearers_internal_live_bearers;month_year;invertebratessquidexcepted;3.285;oceanodromous;2500;no;pelagic;fusiform;yes;small_groups;1140;generalist;<1
