species;spp_list_gissi;Class;Order;K;Lm;QB;tri_trophic_level;tri_depth;tri_thermal_tolerance;tri_age_at_maturity;tri_parental_investment;tri_body_shape;tri_water_column;SwimMode;;;;
Carcharhinus_plumbeus;carcharhinus plumbeus;Elasmobranchii;Carcharhiniformes;0.039000001;117.2087;1.8;4.27;500;27;25.8893;bearers_internal_live_bearers;fusiform_normal;benthopelagic;carangiform;;;;
Carcharodon_carcharias;carcharodon carcharias;Elasmobranchii;Lamniformes;0.057999998;324.2783;1;4.53;1200;18.1;19.69945;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;thunniform;;;;
Dasyatis_brevis;dasyatis brevis;Elasmobranchii;Myliobatiformes;0.114979999;93.1;2.1;3.84;70;24.2;8.290272333;bearers_internal_live_bearers;other_flattened;demersal;rajiform;;;;
Galeocerdo_cuvier;galeocerdo cuvier;Elasmobranchii;Carcharhiniformes;0.184;176.47;2;4.56;800;26.4;6.086011;bearers_internal_live_bearers;fusiform_normal_angular;benthopelagic;carangiform;;;;
Ginglymostoma_cirratum;ginglymostoma cirratum;Elasmobranchii;Orectolobiformes;0.08192;194.4;1.3;4.15;130;25.5;13.42224725;bearers_internal_live_bearers;elongated;reef_associated;carangiform;;;;
Hexanchus_griseus;hexanchus griseus;Elasmobranchii;Hexanchiformes;0.075101667;215;1.2;4.48;2500;8.1;15.71664225;bearers_internal_live_bearers;elongated;bathydemersal;subcarangiform;;;;
Isurus_oxyrinchus;isurus oxyrinchus;Elasmobranchii;Lamniformes;0.075999998;150.512;9.640000343;4.52;750;17.4;13.73363;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;thunniform;;;;
Lamna_ditropis;lamna ditropis;Elasmobranchii;Lamniformes;0.230000004;89.77483;1.1;4.5;650;4.7;5.583273;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;thunniform;;;;
Megachasma_pelagios;megachasma pelagios;Elasmobranchii;Lamniformes;0.08581;241.2;0.7;3.38;600;17.8;13.42819418;bearers_internal_live_bearers;elongated;pelagic_oceanic;subcarangiform;;;;
Mobula_birostris;mobula birostris;Elasmobranchii;Myliobatiformes;0.08;377;0;3.46;120;27.6;14.64417;bearers_internal_live_bearers;other_flattened;reef_associated;rajiform;;;;
Mobula_tarapacana;mobula tarapacana;Elasmobranchii;Myliobatiformes;0.230000004;153;2.2;3.79;1896;27.1;4.562583;bearers_internal_live_bearers;other;reef_associated;rajiform;;;;
Myliobatis_californica;myliobatis californica;Elasmobranchii;Myliobatiformes;0.0995;120.1994;1.8;3.24;108;20.6;10.21471;bearers_internal_live_bearers;other_flattened;demersal;rajiform;;;;
Negaprion_brevirostris;negaprion brevirostris;Elasmobranchii;Carcharhiniformes;0.04;157.9;0;4.27;92;25.6;26.72224;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Notorynchus_cepedianus;notorynchus cepedianus;Elasmobranchii;Hexanchiformes;0.25;131.6582;1.6;4.68;570;14.2;4.808069;bearers_internal_live_bearers;elongated;demersal;subcarangiform;;;;
Odontaspis_ferox;odontaspis ferox;Elasmobranchii;Lamniformes;0.090000004;202.4;0.8;4.16;2000;17.3;12.02112;bearers_internal_live_bearers;fusiform_normal;benthopelagic;subcarangiform;;;;
Prionace_glauca;prionace glauca;Elasmobranchii;Carcharhiniformes;0.100000001;168.6901;0.8;4.35;1000;14.8;11.68544;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;carangiform;;;;
