SPP,Taxonomic_group,Maximum_size,Depth_category,Trophic_group,Caudal_fin,Body_shape,Body_mass,Status,Trend,Reported_function,Herbivory_pressure,Nutrient_transport_storage,Bioturbation_bioerosion,Coral_reef_resilience,Organism_dispersal,Marine_top_predator_Apex_predator,Marine_mesopredator,Trophic_regulation,Trophic_dynamic_regulation
Aetobatus_narinari,Chondrichthyes,0.939763093,C,CAR,Absent,Lozenge_shaped,-0.004854883,NT,Decreasing,1,0,0,0,0,0,0,1,1,1
Alopias_superciliosus,Chondrichthyes,1.572324938,D,CAR,Heterocercal,Elongated,0.020980005,VU,Decreasing,1,0,0,0,0,0,1,0,1,1
Alopias_vulpinus,Chondrichthyes,3.244861341,D,CAR,Heterocercal,Elongated,0.207082646,VU,Decreasing,1,0,0,0,0,0,1,0,1,1
Carcharhinus_brachyurus,Chondrichthyes,0.912959625,D,CAR,Heterocercal,Elongated,-0.039873759,NT,Unknown,1,0,0,0,0,0,1,0,1,1
Carcharhinus_falciformis,Chondrichthyes,1.046976965,D,CAR,Heterocercal,Elongated,-0.024363223,VU,Decreasing,1,0,0,0,0,0,1,0,1,1
Carcharhinus_galapagensis,Chondrichthyes,1.154190837,D,CAR,Heterocercal,Elongated,0.007004712,NT,Unknown,1,0,0,0,0,0,1,0,1,1
Carcharhinus_limbatus,Chondrichthyes,0.644924945,A,CAR,Heterocercal,Elongated,-0.066905164,NT,Unknown,1,0,0,0,0,0,1,0,1,1
Carcharhinus_longimanus,Chondrichthyes,1.29356887,D,CAR,Heterocercal,Elongated,0.098054222,VU,Decreasing,0,0,0,0,0,0,0,0,0,0
Carcharhinus_obscurus,Chondrichthyes,1.422225517,D,CAR,Heterocercal,Elongated,0.09831708,VU,Decreasing,1,0,0,0,0,0,1,1,1,1
Carcharhinus_plumbeus,Chondrichthyes,0.510907605,D,CAR,Heterocercal,Elongated,-0.056516101,VU,Decreasing,0,0,0,0,0,0,0,0,0,0
Carcharodon_carcharias,Chondrichthyes,2.065508749,D,CAR,Heterocercal,Elongated,0.284062281,VU,Unknown,1,0,0,0,0,0,1,0,1,1
Caretta_caretta,Reptile,-0.100211466,D,CAR,Absent,Oval,-0.029783409,VU,Decreasing,1,0,1,0,0,1,0,0,0,0
Dermochelys_coriacea,Reptile,0.618121477,D,MINV,Absent,Oval,0.174900863,VU,Decreasing,1,0,0,0,0,0,0,0,1,1
Eretmochelys_imbricata,Reptile,-0.218146725,D,OMNI,Absent,Oval,-0.052231071,CR,Decreasing,1,1,1,0,1,1,0,0,1,1
Galeocerdo_cuvier,Chondrichthyes,3.191254405,D,CAR,Heterocercal,Elongated,0.678267571,NT,Decreasing,1,0,1,0,0,0,1,0,1,1
Ginglymostoma_cirratum,Chondrichthyes,1.475832453,D,CAR,Heterocercal,Elongated,0.014517812,DD,Unknown,0,0,0,0,0,0,0,0,0,0
Hexanchus_griseus,Chondrichthyes,1.75458852,D,CAR,Heterocercal,Elongated,0.130360447,NT,Unknown,1,0,0,0,0,0,1,0,1,1
Isurus_oxyrinchus,Chondrichthyes,1.315011645,D,CAR,Lunated,Elongated,-9.12075e-4,EN,Decreasing,1,0,0,0,0,0,1,0,1,1
Lepidochelys_olivacea,Reptile,-0.421853082,D,CAR,Absent,Oval,-0.10013835,VU,Decreasing,1,0,1,0,0,0,0,0,0,0
Mobula_birostris,Chondrichthyes,3.459289085,D,DPLA,Absent,Lozenge_shaped,0.587733164,VU,Decreasing,1,0,0,0,0,0,0,1,1,1
Mobula_tarapacana,Chondrichthyes,0.778942285,A,MINV,Absent,Lozenge_shaped,-0.02792686,VU,Decreasing,1,0,0,0,0,0,0,0,1,0
Negaprion_brevirostris,Chondrichthyes,0.993370029,D,CAR,Heterocercal,Elongated,-0.020540733,NT,Unknown,1,0,0,0,0,0,1,0,1,1
Odontaspis_ferox,Chondrichthyes,1.583046325,D,CAR,Heterocercal,Elongated,0.075366856,VU,Decreasing,1,0,0,0,0,0,1,0,1,1
Prionace_glauca,Chondrichthyes,1.315011645,D,CAR,Heterocercal,Elongated,0.023124839,NT,Unknown,1,0,0,0,0,0,1,0,1,1
Pteroplatytrygon_violacea,Chondrichthyes,0.033805874,D,MINV,Absent,Rhombic,-0.08114013,LC,Unknown,1,0,0,0,0,0,0,1,1,1
Rhincodon_typus,Chondrichthyes,9.892121407,D,DPLA,Heterocercal,Elongated,14.83469969,EN,Decreasing,1,0,1,0,0,1,0,0,1,1
Seriola_dumerili,Osteichthyes,-0.025161756,D,PISC,Forked,Fusiform,-0.092008694,LC,Unknown,1,0,0,0,0,0,0,1,1,1
Seriola_lalandi,Osteichthyes,-0.025161756,D,PISC,Forked,Elongated,-0.090508158,LC,Stable,1,0,0,0,0,0,0,1,1,1
Sphyrna_lewini,Chondrichthyes,1.475832453,D,CAR,Heterocercal,Elongated,0.016944823,EN,Unknown,1,0,0,0,0,0,1,0,1,1
Sphyrna_mokarran,Chondrichthyes,2.440757301,D,CAR,Heterocercal,Elongated,0.11002286,EN,Decreasing,1,0,0,0,0,0,1,0,1,1
Sphyrna_zygaena,Chondrichthyes,1.851081005,D,CAR,Heterocercal,Elongated,0.033582373,VU,Decreasing,1,0,0,0,0,0,1,0,1,1
Stenella_longirostris,Mammal,0.457300669,D,CAR,Truncated,Elongated,-0.073527694,LC,Unknown,1,0,0,0,0,0,1,0,1,1
